"","logFC","AveExpr","t","P.Value","adj.P.Val","B","pval"
"218314_s_at",1.14657591726827,5.97690694235037,6.82299259131075,1.99145510464789e-06,0.00797208487131402,5.06214486697904,5.09530078384895e-05
"213001_at",1.4619886653573,9.26437064017489,-4.99406623670451,8.9483432601188e-05,0.0147458083280668,1.58268686076055,0.000742964192567865
"208789_at",-1.05725986313139,9.79550826577698,-4.920546529494,0.000105116819940421,0.0157202556961906,1.43354204290534,0.0114029672465151
"205653_at",-1.06643207824464,6.69136596544244,-4.64856656376337,0.000191485427667179,0.0189159202554783,0.8773440084285,0.0032530996648611
"212419_at",-1.05245560676939,8.92082703535979,-4.42827581881762,0.000312495196537265,0.0215304846928411,0.422584479380415,0.00139743282290376
"210260_s_at",-1.32843896795853,5.69884391708533,-4.28886790456618,0.000426663029426262,0.0232657132151536,0.133339175147596,0.00153296352232541
"213816_s_at",-1.52211397687262,4.95970237760167,4.14481333315011,0.000589139865777647,0.0261380126358235,-0.166346729341184,0.00320244512211661
"201717_at",-1.5150064927251,8.38654068413882,4.03716563801301,0.000750092937332584,0.0285227319497986,-0.39060128730489,0.00996188611760273
"204840_s_at",-2.00532870973716,3.91277240710837,-3.95745920277018,0.000897108358699631,0.0310407850262483,-0.556705012950003,0.000249321000377943
"209200_at",-2.87323234105828,6.80370623373089,-3.95631107728364,0.000899424655151596,0.0310726815360357,-0.55909757556306,7.70694002368346e-05
"202559_x_at",1.12832671963261,8.20988899118048,3.93952448481765,0.000933983026712925,0.0316091221301812,-0.59407797269172,0.00344128706522707
"203698_s_at",2.23576340166506,5.31243073403301,-3.93912958866752,0.000934811806479801,0.0316091221301812,-0.594900844443869,0.000985818369537885
"200944_s_at",-1.07092382902981,9.83855232010194,3.93257435353178,0.00094867752124094,0.0317885431666344,-0.608560238114386,0.000161848382602519
"212757_s_at",-1.6493397069506,7.53656046647093,-3.9244231914644,0.000966206482988596,0.0321787701564647,-0.625544573999179,0.000166603239196608
"203565_s_at",-1.02973845655824,5.98699449584474,3.9167153342179,0.000983080237822013,0.0323922624363484,-0.641604575861897,0.0490255813423684
"221276_s_at",-1.37099933309127,4.86858906320695,-3.7724145566019,0.00135939040441972,0.0383920106231746,-0.942061798568222,3.95211957467219e-05
"213592_at",-1.22808335514519,7.97034645072032,-3.72680270048564,0.00150596676263475,0.0405221380273144,-1.03690486365159,0.00334586848720418
"201301_s_at",1.12930774663208,9.27621500193875,3.72633303059401,0.00150755519564886,0.0405221380273144,-1.03788103635583,0.00150755519564886
"212344_at",1.12918833149699,7.58837801014843,-3.72547883223516,0.00151044838931157,0.0405509897096743,-1.03965639755532,0.00266684866349443
"213707_s_at",-1.12903886902131,6.38959718915228,3.7099190694134,0.00156412788534062,0.0409078188603816,-1.07199010609415,0.017619076000583
"203747_at",1.623042422231,6.54172439263067,3.66649956629754,0.00172417067064443,0.0431681966898538,-1.16215643901247,6.31724753625838e-05
"206920_s_at",1.66446738294019,6.76624125329391,3.66427172214389,0.00173280805090382,0.0433104973217292,-1.16678024969785,4.20031360171011e-05
"214638_s_at",1.52989472624119,4.33151943912904,3.61936967005625,0.00191635569330369,0.0446064397416434,-1.25991289985274,0.00229538017874035
"218454_at",-1.3712405775622,8.05894489643863,-3.61904784150036,0.00191773860218527,0.0446064397416434,-1.2605799802973,0.0016028283841237
"219607_s_at",-1.90192974819901,5.324060396818,-3.61834177246438,0.00192077607832242,0.0446079270062804,-1.26204348485246,0.000346972999937045
"211340_s_at",-2.15947054313474,7.69715591163407,-3.56003016122,0.00218882583736731,0.0476304747402888,-1.38279506547094,0.00827016293661857
"221599_at",-1.98604721072425,7.10272714582826,-3.55958334887817,0.00219101672607385,0.0476316348361985,-1.38371940596855,0.00671796081004886
"205810_s_at",-1.18933531603171,5.85471960642063,3.5484080440986,0.00224652584174507,0.048403144743256,-1.40683342350623,0.00399386839514371
"212421_at",-2.20918768455441,5.67032165638114,-3.51946514855256,0.00239684783392722,0.0500251444463168,-1.46665164502288,0.000346198919284794
